idx,text,text_pp,label_true,label_vm_orig,label_vm_pphrase,vm_orig_truelabel,vm_pp_truelabel,vm_truelabel_change,vm_orig_class0,vm_orig_class1,vm_pp_class0,vm_pp_class1
16,steers turns in a snappy screenplay that curls at the edges ; it's so clever you want to hate it . but he somehow pulls it off .,He manages to pull it off despite the fact that it's so clever you want to hate it.,1,1,1,0.62011874,0.70192784,-0.0818091,0.3798813,0.62011874,0.2980721,0.70192784
17,steers turns in a snappy screenplay that curls at the edges ; it's so clever you want to hate it . but he somehow pulls it off .,"It's so clever you want to hate it, but he manages to pull it off.",1,1,0,0.62011874,0.47752744,0.1425913,0.3798813,0.62011874,0.52247256,0.47752744
18,take care of my cat offers a refreshingly different slice of asian cinema .,Take care of my cat gives a refreshingly different slice of asian cinema.,1,1,1,0.95383525,0.9538001,3.516674e-05,0.04616481,0.95383525,0.046199895,0.9538001
19,take care of my cat offers a refreshingly different slice of asian cinema .,Take care of my cat gives a different slice of asian cinema.,1,1,1,0.95383525,0.9304592,0.023376048,0.04616481,0.95383525,0.0695408,0.9304592
20,"this is a film well worth seeing , talking and singing heads and all .",This is a film that is well worth seeing.,1,1,1,0.9507633,0.9474312,0.0033320785,0.049236782,0.9507633,0.052568786,0.9474312
21,"this is a film well worth seeing , talking and singing heads and all .",This is a film that is worth seeing and talking about.,1,1,1,0.9507633,0.9390829,0.011680365,0.049236782,0.9507633,0.06091702,0.9390829
22,what really surprises about wisegirls is its low-key quality and genuine tenderness .,The low-key quality of wisegirls is really surprising.,1,1,1,0.9175121,0.88143444,0.03607768,0.082487896,0.9175121,0.118565515,0.88143444
23,what really surprises about wisegirls is its low-key quality and genuine tenderness .,There is a low-key quality to wisegirls.,1,1,0,0.9175121,0.3305692,0.5869429,0.082487896,0.9175121,0.6694308,0.3305692
24,"( wendigo is ) why we go to the cinema : to be fed through the eye , the heart , the mind .","To be fed through the eye, the heart, the mind is what we go to the cinema for.",1,1,1,0.8399186,0.90633607,-0.066417456,0.16008143,0.8399186,0.09366395,0.90633607
25,"( wendigo is ) why we go to the cinema : to be fed through the eye , the heart , the mind .","To be fed through the eye, the heart, and the mind is what we go to the cinema for.",1,1,1,0.8399186,0.9250178,-0.08509916,0.16008143,0.8399186,0.07498219,0.9250178
26,"one of the greatest family-oriented , fantasy-adventure movies ever .",It's one of the best family-oriented movies of all time.,1,1,1,0.9381573,0.93356633,0.004590988,0.06184267,0.9381573,0.06643361,0.93356633
27,"one of the greatest family-oriented , fantasy-adventure movies ever .",It is one of the greatest family-oriented movies of all time.,1,1,1,0.9381573,0.9208459,0.017311394,0.06184267,0.9381573,0.07915403,0.9208459
28,"ultimately , it ponders the reasons we need stories so much .",It ponders the reasons we need stories.,1,0,0,0.33669248,0.46791345,-0.13122097,0.6633075,0.33669248,0.53208655,0.46791345
29,"ultimately , it ponders the reasons we need stories so much .",It ponders the reasons we need stories so much.,1,0,0,0.33669248,0.38358766,-0.046895176,0.6633075,0.33669248,0.61641234,0.38358766
30,an utterly compelling 'who wrote it' in which the reputation of the most famous author who ever lived comes into question .,The reputation of the most famous author who ever lived comes into question as a result of an utterly compelling 'who wrote it'.,1,1,1,0.9512352,0.85231,0.09892517,0.048764788,0.9512352,0.14768997,0.85231
31,an utterly compelling 'who wrote it' in which the reputation of the most famous author who ever lived comes into question .,The reputation of the most famous author who ever lived comes into question because of an utterly compelling 'who wrote it'.,1,1,1,0.9512352,0.8709452,0.08028996,0.048764788,0.9512352,0.12905475,0.8709452
32,illuminating if overly talky documentary .,"If it's overly talky, it's illuminating.",1,1,1,0.89476603,0.9347771,-0.04001105,0.105233975,0.89476603,0.06522289,0.9347771
33,illuminating if overly talky documentary .,The documentary is illuminating.,1,1,1,0.89476603,0.95731133,-0.0625453,0.105233975,0.89476603,0.04268871,0.95731133
34,a masterpiece four years in the making .,A masterpiece four years in the making.,1,1,1,0.94908327,0.94908327,0.0,0.05091671,0.94908327,0.05091671,0.94908327
35,a masterpiece four years in the making .,A masterpiece has been made for four years.,1,1,1,0.94908327,0.9240055,0.02507776,0.05091671,0.94908327,0.07599446,0.9240055
36,"the movie's ripe , enrapturing beauty will tempt those willing to probe its inscrutable mysteries .",Those willing to probe its inscrutable mysteries will be attracted to the movie's ripe beauty.,1,1,1,0.93927735,0.93220043,0.007076919,0.060722616,0.93927735,0.06779952,0.93220043
37,"the movie's ripe , enrapturing beauty will tempt those willing to probe its inscrutable mysteries .",Those willing to investigate its inscrutable mysteries will be attracted to the movie's ripe beauty.,1,1,1,0.93927735,0.9320665,0.0072108507,0.060722616,0.93927735,0.06793354,0.9320665
38,offers a breath of the fresh air of true sophistication .,It has a fresh air of true sophistication.,1,1,1,0.9498772,0.9518357,-0.0019584894,0.05012272,0.9498772,0.048164282,0.9518357
39,offers a breath of the fresh air of true sophistication .,The fresh air of true sophistication is what it offers.,1,1,1,0.9498772,0.95081747,-0.0009402633,0.05012272,0.9498772,0.049182538,0.95081747
40,"a thoughtful , provocative , insistently humanizing film .",A film that is provocative and humanizing.,1,1,1,0.95994675,0.9529176,0.0070291758,0.040053222,0.95994675,0.047082435,0.9529176
41,"a thoughtful , provocative , insistently humanizing film .","A film that is provocative, humanizing and thoughtful.",1,1,1,0.95994675,0.9581608,0.001785934,0.040053222,0.95994675,0.041839186,0.9581608
42,"with a cast that includes some of the top actors working in independent film , lovely & amazing involves us because it is so incisive , so bleakly amusing about how we go about our lives .","With a cast that includes some of the top actors working in independent film it is lovely and amazing, it is so bleakly amusing about how we go about our lives.",1,1,1,0.95278436,0.9488552,0.003929138,0.047215614,0.95278436,0.05114475,0.9488552
43,"with a cast that includes some of the top actors working in independent film , lovely & amazing involves us because it is so incisive , so bleakly amusing about how we go about our lives .","With a cast that includes some of the top actors working in independent film, it is lovely and amazing, it is so bleakly amusing about how we go about our lives.",1,1,1,0.95278436,0.95300084,-0.00021648407,0.047215614,0.95278436,0.046999194,0.95300084
44,a disturbing and frighteningly evocative assembly of imagery and hypnotic music composed by philip glass .,A disturbing and frighteningly evocative assembly of imagery and music was composed by philip glass.,1,1,1,0.95572734,0.9483994,0.0073279142,0.044272717,0.95572734,0.051600594,0.9483994
45,a disturbing and frighteningly evocative assembly of imagery and hypnotic music composed by philip glass .,There is a disturbing and frighteningly evocative assembly of imagery and music.,1,1,1,0.95572734,0.9554933,0.00023406744,0.044272717,0.95572734,0.04450676,0.9554933
46,"not for everyone , but for those with whom it will connect , it's a nice departure from standard moviegoing fare .","For those with whom it will connect, it's a nice departure from standard moviegoing fare.",1,1,1,0.930371,0.93178266,-0.0014116764,0.069629066,0.930371,0.06821734,0.93178266
47,"not for everyone , but for those with whom it will connect , it's a nice departure from standard moviegoing fare .","Not for everyone, but for those with whom it will connect, it's a nice departure from standard moviegoing fare.",1,1,1,0.930371,0.930371,0.0,0.069629066,0.930371,0.069629066,0.930371
48,scores a few points for doing what it does with a dedicated and good-hearted professionalism .,A few points are scored for doing what it does with a dedicated and good-hearted professionalism.,1,1,1,0.9049424,0.89093024,0.014012158,0.095057614,0.9049424,0.10906971,0.89093024
49,scores a few points for doing what it does with a dedicated and good-hearted professionalism .,A few points are scored for doing what it does with dedication and good-hearted professionalism.,1,1,1,0.9049424,0.8960819,0.008860469,0.095057614,0.9049424,0.10391805,0.8960819
50,"occasionally melodramatic , it's also extremely effective .",It's also very effective when it's melodramatic.,1,1,1,0.9335761,0.93120867,0.002367437,0.066423886,0.9335761,0.0687913,0.93120867
51,"occasionally melodramatic , it's also extremely effective .",It's also effective when it's melodramatic.,1,1,1,0.9335761,0.9099645,0.023611605,0.066423886,0.9335761,0.090035446,0.9099645
52,spiderman rocks,A spiderman is outside.,1,1,0,0.509816,0.1953668,0.3144492,0.49018398,0.509816,0.80463326,0.1953668
53,spiderman rocks,A man rocks.,1,1,0,0.509816,0.31665933,0.19315666,0.49018398,0.509816,0.68334067,0.31665933
54,an idealistic love story that brings out the latent 15-year-old romantic in everyone .,A love story that brings out a 15-year-old romantic in everyone.,1,1,1,0.95379883,0.9541186,-0.00031977892,0.046201162,0.95379883,0.045881342,0.9541186
55,an idealistic love story that brings out the latent 15-year-old romantic in everyone .,An idealistic love story brings out a 15-year-old romantic in everyone.,1,1,1,0.95379883,0.94791245,0.005886376,0.046201162,0.95379883,0.052087527,0.94791245
56,"at about 95 minutes , treasure planet maintains a brisk pace as it races through the familiar story . however , it lacks grandeur and that epic quality often associated with stevenson's tale as well as with earlier disney efforts .","treasure planet has a brisk pace as it races through a familiar story, but it lacks grandeur and that epic quality often associated with stevenson's tale as well as with earlier Disney efforts.",1,0,0,0.2087917,0.25912067,-0.05032897,0.7912083,0.2087917,0.7408793,0.25912067
57,"at about 95 minutes , treasure planet maintains a brisk pace as it races through the familiar story . however , it lacks grandeur and that epic quality often associated with stevenson's tale as well as with earlier disney efforts .","treasure planet has a brisk pace as it races through a familiar story, but it lacks the grandeur and epic quality associated with stevenson's tale and earlier Disney efforts.",1,0,0,0.2087917,0.14819512,0.060596585,0.7912083,0.2087917,0.8518049,0.14819512
58,it helps that lil bow wow . . . tones down his pint-sized gangsta act to play someone who resembles a real kid .,He tones down his gangsta act to play someone who resembles a real kid.,1,1,0,0.85884774,0.17751451,0.68133324,0.14115228,0.85884774,0.82248545,0.17751451
59,it helps that lil bow wow . . . tones down his pint-sized gangsta act to play someone who resembles a real kid .,His gangsta act is toned down to play someone who resembles a real kid.,1,1,0,0.85884774,0.24547498,0.61337274,0.14115228,0.85884774,0.754525,0.24547498
60,"guaranteed to move anyone who ever shook , rattled , or rolled .","It's guaranteed to move anyone who has ever shook, rattled, or rolled.",1,1,1,0.82357514,0.8782899,-0.05471474,0.1764248,0.82357514,0.12171008,0.8782899
61,"guaranteed to move anyone who ever shook , rattled , or rolled .","It is guaranteed to move anyone who has ever shook, rattled, or rolled.",1,1,1,0.82357514,0.85675937,-0.03318423,0.1764248,0.82357514,0.14324069,0.85675937
62,"a masterful film from a master filmmaker , unique in its deceptive grimness , compelling in its fatalist worldview .",The film is unique in its deceptive grimness and compelling in its fatalist view.,1,1,1,0.96017045,0.9526126,0.007557869,0.03982951,0.96017045,0.04738746,0.9526126
63,"a masterful film from a master filmmaker , unique in its deceptive grimness , compelling in its fatalist worldview .","A masterful film from a master filmmaker, unique in its deceptive grimness, compelling in its fatalist worldview.",1,1,1,0.96017045,0.96017045,0.0,0.03982951,0.96017045,0.03982949,0.96017045
64,"light , cute and forgettable .",It was light and cute.,1,1,1,0.7288306,0.90467167,-0.1758411,0.2711694,0.7288306,0.09532832,0.90467167
65,"light , cute and forgettable .",Light and cute.,1,1,1,0.7288306,0.9214909,-0.19266033,0.2711694,0.7288306,0.07850906,0.9214909
66,"if there's a way to effectively teach kids about the dangers of drugs , i think it's in projects like the ( unfortunately r-rated ) paid .","If there's a way to teach kids about the dangers of drugs, I think it's in projects like the r-rated ones.",1,0,0,0.18001899,0.24052669,-0.0605077,0.81998104,0.18001899,0.75947326,0.24052669
67,"if there's a way to effectively teach kids about the dangers of drugs , i think it's in projects like the ( unfortunately r-rated ) paid .","If there's a way to teach kids about the dangers of drugs, I think it's in projects like the r-rated one.",1,0,0,0.18001899,0.2512901,-0.07127112,0.81998104,0.18001899,0.7487099,0.2512901
68,"while it would be easy to give crush the new title of two weddings and a funeral , it's a far more thoughtful film than any slice of hugh grant whimsy .","It would be easy to ruin the new title of two weddings and a funeral, but it's a far more thoughtful film.",1,1,1,0.941708,0.9191332,0.022574842,0.05829197,0.941708,0.08086679,0.9191332
69,"while it would be easy to give crush the new title of two weddings and a funeral , it's a far more thoughtful film than any slice of hugh grant whimsy .","It would be easy to ruin the new title of two weddings and a funeral, but it's a much more thoughtful film.",1,1,1,0.941708,0.91285354,0.02885449,0.05829197,0.941708,0.087146446,0.91285354
70,"though everything might be literate and smart , it never took off and always seemed static .",It never took off and always seemed static.,1,0,0,0.15259336,0.1287749,0.023818463,0.8474066,0.15259336,0.87122506,0.1287749
71,"though everything might be literate and smart , it never took off and always seemed static .","Everything might be literate and smart, but it never took off.",1,0,0,0.15259336,0.20974149,-0.05714813,0.8474066,0.15259336,0.79025847,0.20974149
72,"cantet perfectly captures the hotel lobbies , two-lane highways , and roadside cafes that permeate vincent's days","The hotel lobbies, two-lane highways, and roadside cafes are captured perfectly by cantet.",1,1,1,0.9286866,0.8962473,0.03243929,0.07131333,0.9286866,0.103752606,0.8962473
73,"cantet perfectly captures the hotel lobbies , two-lane highways , and roadside cafes that permeate vincent's days","The hotel lobbies, two-lane highways and roadside cafes are captured perfectly by cantet.",1,1,1,0.9286866,0.9045916,0.024094999,0.07131333,0.9286866,0.095408425,0.9045916
74,"ms . fulford-wierzbicki is almost spooky in her sulky , calculating lolita turn .",fulford-woerzbicki is almost spooky in her turn.,1,0,0,0.28515646,0.11392866,0.1712278,0.7148436,0.28515646,0.8860713,0.11392866
75,"ms . fulford-wierzbicki is almost spooky in her sulky , calculating lolita turn .",fulford-wierzbicki is very calculating in her turn.,1,0,1,0.28515646,0.7534644,-0.46830794,0.7148436,0.28515646,0.2465356,0.7534644
76,"though it is by no means his best work , laissez-passer is a distinguished and distinctive effort by a bona-fide master , a fascinating film replete with rewards to be had by all willing to make the effort to reap them .","Though it is not his best work, laissez-passer is a fascinating film filled with rewards to be had by all willing to make the effort to reap them.",1,1,1,0.95892745,0.95908344,-0.00015598536,0.041072562,0.95892745,0.040916577,0.95908344
77,"though it is by no means his best work , laissez-passer is a distinguished and distinctive effort by a bona-fide master , a fascinating film replete with rewards to be had by all willing to make the effort to reap them .","Though it is not his best work, laissez-passer is a fascinating film with rewards to be had by all willing to make the effort to reap them.",1,1,1,0.95892745,0.9592559,-0.0003284216,0.041072562,0.95892745,0.040744107,0.9592559
78,"like most bond outings in recent years , some of the stunts are so outlandish that they border on being cartoonlike . a heavy reliance on cgi technology is beginning to creep into the series .",Some of the stunts are so crazy that they look like cartoons.,1,0,0,0.10099596,0.09461576,0.0063802004,0.8990041,0.10099596,0.90538424,0.09461576
79,"like most bond outings in recent years , some of the stunts are so outlandish that they border on being cartoonlike . a heavy reliance on cgi technology is beginning to creep into the series .",Some of the stunts are so out of the ordinary that they look like cartoons.,1,0,0,0.10099596,0.08148303,0.019512929,0.8990041,0.10099596,0.918517,0.08148303
80,"newton draws our attention like a magnet , and acts circles around her better known co-star , mark wahlberg .","Newton draws our attention and circles around her co-star, markwahlberg.",1,1,1,0.81723195,0.9007293,-0.083497345,0.18276806,0.81723195,0.0992707,0.9007293
81,"newton draws our attention like a magnet , and acts circles around her better known co-star , mark wahlberg .",Newton draws our attention and circles around her co-star.,1,1,1,0.81723195,0.8698288,-0.052596867,0.18276806,0.81723195,0.13017125,0.8698288
82,"the story loses its bite in a last-minute happy ending that's even less plausible than the rest of the picture . much of the way , though , this is a refreshingly novel ride .","The last-minute happy ending is less plausible than the rest of the picture, but this is a refreshingly novel ride.",1,1,1,0.92444825,0.95355755,-0.0291093,0.07555171,0.92444825,0.0464424,0.95355755
83,"the story loses its bite in a last-minute happy ending that's even less plausible than the rest of the picture . much of the way , though , this is a refreshingly novel ride .","The last-minute happy ending is less plausible than the rest of the picture, but it is a refreshingly novel ride.",1,1,1,0.92444825,0.95612264,-0.031674385,0.07555171,0.92444825,0.043877404,0.95612264
84,fuller would surely have called this gutsy and at times exhilarating movie a great yarn .,This movie would surely have been called a great yarn by fuller.,1,1,1,0.9381181,0.6805269,0.2575912,0.061881915,0.9381181,0.31947312,0.6805269
85,fuller would surely have called this gutsy and at times exhilarating movie a great yarn .,This movie is a great yarn.,1,1,1,0.9381181,0.95279574,-0.014677644,0.061881915,0.9381181,0.047204293,0.95279574
